,mean_F7,max_F7,min_F7,std_F7,iqr_F7,var_F7,sum_F7,skw_F7,krt_F7,mean_first_diff_F7,mean_second_diff_F7,rms_F7,abssum_F7,ssi_F7,var_F7.1,mav_F7,log_F7,aac_F7,dasdv_F7,dfa_F7,fuzzy_F7,shannon_F7,pe_F7,hjorth_F7,hurst_F7,label
46,0.07073787902036234,0.07819320908813773,0.018828831068565255,0.06825424443075896,0.08009075743687405,0.01286713481903692,0.11082596178643399,0.7311365779781357,0.5747194505932971,0.06771575231578467,0.09744433606233864,0.06152114280181134,0.11082596178643399,0.022199361506030503,0.015359378589114587,0.07073787902036234,0.08833973800634343,0.06928179422857171,0.07458704002285263,0.13766144955144674,0.2728963126050014,0.6307297438634435,0.8292285253238629,0.5155048340014338,0.34536111068179254,2
30,0.1650048490341377,0.08368247195939599,0.14068347804911097,0.10881761810146896,0.3113955349518354,0.02910281235008447,0.05566331465003093,0.45454793138529925,0.08574191172464685,0.14839065551727854,0.1725168771060502,0.12973177938983718,0.05566331465003093,0.02040451922319211,0.05274102175867749,0.1650048490341377,0.22521787347978434,0.13639561431802488,0.0971747033777652,0.14384423853493053,0.5852630463873848,0.6303088911306025,0.15051499783199063,0.34799308189846223,0.27345663120684,1
44,0.11752427954467691,0.1434123777203772,0.031566337435530736,0.12721257330155755,0.30693997555987973,0.03857576358089521,0.19905147753329563,0.6576510719326644,0.43795443463946343,0.09624605444646576,0.1267412684214053,0.11854448194807443,0.19905147753329563,0.06439480660092035,0.03979702944223422,0.11752427954467691,0.07480005503967245,0.09302618739838522,0.0985538195310233,0.049451445434482266,0.17132241166458256,0.33063448296011205,0.7693951721536955,0.319027150973175,0.832861475692503,2
41,0.1259909257523807,0.0944093302586258,0.0030928728521121994,0.1295954256118117,0.40408320708446205,0.03989921136954353,0.21042044272529561,0.4685994971397149,0.054559815043411015,0.04686782586133149,0.05147326506527004,0.12402502260747338,0.21042044272529561,0.06885422216538425,0.042696898571276835,0.1259909257523807,0.04657404168302799,0.042844801138264214,0.038160605729353224,0.0505384633093813,0.17057792115845175,0.5326578525715425,0.6840157054412234,0.015513345248658633,0.8224290403445876,2
47,0.06124276227218807,0.07819320908813773,0.009063922996324377,0.06741059265984047,0.11628565122445042,0.012597432011964489,0.12347697080102396,0.7145853810962868,0.5786647890007739,0.08467501455289794,0.12235737143389079,0.05632960500688963,0.12347697080102396,0.02387157961142876,0.013445581980723565,0.06124276227218807,0.05951188276965416,0.06871659477561728,0.0731176066074531,0.042426014585114004,0.2306528515595059,0.5455680346322467,0.8198549847654422,0.5046652936217355,0.4222082074727038,2
34,0.14503947405352977,0.12609993691415236,0.007503104362353154,0.16291511327907052,0.4628186338687218,0.06071984239996417,0.19563196322800938,0.562620454731183,0.107975756198282,0.06528041774325304,0.05792053772874158,0.1526123305293029,0.19563196322800938,0.07992079311671536,0.05993230676565909,0.14503947405352977,0.07616489369927336,0.06699665937880728,0.07363161848727244,0.3736075913412922,0.12056725279489719,0.5249638420672733,0.8314232024281707,0.4103646145830544,0.6933164506134417,1
42,0.2697497079569269,0.1037057645827246,0.9151275091003517,0.07598909042992247,0.1845924218213417,0.01546895908099198,0.0978585579348134,0.5627000167451236,0.15407181769804124,0.2088900065951634,0.3097458577129802,0.1833628936928132,0.0978585579348134,0.03621721811614976,0.09181521779938173,0.2697497079569269,0.4670207150505724,0.21551176669983796,0.1568649943923792,0.007804433128122632,1.0,0.7223724442223263,0.30102999566398125,0.5611938359146368,0.13340687194995862,2
32,0.15667937895185785,0.14359710373229773,0.005943581557507154,0.1496181128334732,0.41452045241925706,0.05189283074776052,0.25162872610717557,0.5302693900307791,0.16970845715610722,0.10505202958649101,0.11911623940380338,0.15066949661279327,0.25162872610717557,0.09258698435257333,0.058129841166258585,0.15667937895185785,0.06957949034513902,0.08983177163071919,0.0873346625296131,0.03803533028859689,0.16715977522733386,0.7939567035039499,0.7667989542488185,0.16968482394626655,0.7497150009877185,1
38,0.3028002215645761,0.24549753721822412,0.0036214590702576144,0.2951868153236807,0.8648621383141893,0.18599196508927968,0.44783897662858524,0.5388221811401562,0.10996204035072772,0.15418469596649118,0.16578105538594565,0.30727366290752556,0.44783897662858524,0.3008961668346602,0.19358915390436823,0.3028002215645761,0.10157718885462658,0.1502949659042612,0.15610044694849023,0.15587408305040734,0.13140134245488888,0.726563923422955,0.7976535163660705,0.1085875646181045,0.9451119796473966,2
31,0.14603732206673128,0.14359710373229773,0.005943581557507154,0.1502937839762191,0.3653093740389079,0.05232477127487823,0.19677088225132602,0.5894682024529279,0.2305046651642544,0.09315000578905307,0.09134063504190938,0.14546003702183571,0.19677088225132602,0.07416488171932405,0.05548754823927864,0.14603732206673128,0.0698181054292173,0.09544315307284096,0.09301196930074801,0.38915582333383325,0.17792254922680495,0.7387553971680729,0.7449401265379482,0.29957320551586836,0.6392701842335824,1
